Total SVs,SVPs,Axonal Transport SVs,Recycled SVs,PS Loc: 0,PS Loc: 3,PS Loc: 6,PS Loc: 9,PS Loc: 12,PS Loc: 15,PS Loc: 18,PS Loc: 21,PS Loc: 24,PS Loc: 27,PS Loc: 30,PS Loc: 33,PS Loc: 36,PS Loc: 39,PS Loc: 42,PS Loc: 45,PS Loc: 48,PS Loc: 51,PS Loc: 54,PS Loc: 57,PS Loc: 60,PS Loc: 63,PS Loc: 66,PS Loc: 69,PS Loc: 72,PS Loc: 75,PS Loc: 78,PS Loc: 81,PS Loc: 84,PS Loc: 87,PS Loc: 90,PS Loc: 93,PS Loc: 96,PS Loc: 99,PS Loc: 102,PS Loc: 105,PS Loc: 108,PS Loc: 111,PS Loc: 114,PS Loc: 117,PS Loc: 120,PS Loc: 123,PS Loc: 126,PS Loc: 129,PS Loc: 132,PS Loc: 135,PS Loc: 138,PS Loc: 141,PS Loc: 144,PS Loc: 147,PS Loc: 150,PS Loc: 153,PS Loc: 156,PS Loc: 159,PS Loc: 162,PS Loc: 165,PS Loc: 168,PS Loc: 171,PS Loc: 174,PS Loc: 177,PS Loc: 180,PS Loc: 183,PS Loc: 186,PS Loc: 189,PS Loc: 192,PS Loc: 195,PS Loc: 198,PS Loc: 201,PS Loc: 204,PS Loc: 207,PS Loc: 210,PS Loc: 213,PS Loc: 216,PS Loc: 219,PS Loc: 222,PS Loc: 225,PS Loc: 228,PS Loc: 231,PS Loc: 234,PS Loc: 237,PS Loc: 240,PS Loc: 243,PS Loc: 246,PS Loc: 249,PS Loc: 252,PS Loc: 255,PS Loc: 258,PS Loc: 261,PS Loc: 264,PS Loc: 267,PS Loc: 270,PS Loc: 273,PS Loc: 276,PS Loc: 279,PS Loc: 282,PS Loc: 285,PS Loc: 288,PS Loc: 291,PS Loc: 294,PS Loc: 297,PS Loc: 300
4060,8,20,0,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
4061,15,4055,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4061,23,3629,22,1,3,4,5,5,7,7,6,3,6,2,5,4,3,4,3,3,4,3,6,5,5,5,6,1,5,4,3,8,2,7,1,6,5,1,3,3,2,5,1,4,1,3,5,3,6,6,4,6,8,4,3,3,4,5,5,5,2,4,1,1,3,5,1,6,2,3,2,3,5,6,9,5,2,3,2,0,4,3,8,5,3,2,2,5,9,1,2,3,3,3,3,8,5,3,5,5,3,3,3,17
4062,30,3912,27,2,0,2,0,1,3,1,1,1,1,1,1,0,2,3,0,3,3,0,2,2,0,1,0,1,3,1,4,2,1,0,1,4,2,3,2,1,2,2,0,0,1,0,2,0,0,1,2,2,0,2,1,1,2,1,0,1,0,0,0,1,0,1,2,2,1,2,1,0,1,0,2,1,1,0,2,0,1,1,1,1,2,2,1,1,1,1,3,2,1,2,1,2,2,0,0,0,0,1,4,1
4065,35,1437,30,10,22,30,29,27,25,25,28,31,22,27,30,28,25,25,27,19,26,29,16,27,30,24,26,26,24,25,29,23,27,26,26,20,22,23,23,32,30,23,31,22,29,26,26,26,30,21,21,28,26,26,26,28,19,27,31,28,24,30,30,25,25,21,28,22,28,27,30,31,27,25,25,25,31,32,26,32,26,32,20,26,33,24,19,26,21,24,21,24,29,25,35,25,20,26,23,19,26,20,29,23
4065,43,3952,35,0,1,0,1,0,0,1,0,1,3,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,2,2,2,1,0,1,1,0,1,0,1,0,2,0,1,0,1,0,1,1,0,2,1,1,1,0,1,1,0,0,2,0,0,2,2,0,0,1,2,1,0,0,1,1,2,1,0,0,1,0,1,1,1,1,0,0,2,1,1,1,1,0,0,2,1,0,0,1,1,2,3
4065,51,3510,41,0,4,6,5,8,9,3,7,5,4,4,4,5,8,3,5,5,3,4,4,8,10,4,5,10,5,4,2,3,7,4,7,1,5,2,5,3,5,6,3,5,3,5,4,5,4,7,4,4,5,13,9,5,4,7,6,9,8,0,5,4,3,3,3,3,5,4,3,8,5,5,5,7,4,7,3,4,1,6,8,4,7,3,4,7,2,10,5,5,5,4,4,3,10,3,7,7,7,2,6,11
4066,58,3261,44,7,6,5,7,10,7,4,5,7,7,4,14,5,7,10,9,12,8,9,2,9,10,8,6,11,10,5,8,9,9,13,7,8,9,5,8,9,9,2,5,8,10,4,8,7,9,7,7,7,10,6,10,2,9,8,6,6,5,9,8,6,14,11,10,9,9,5,9,5,4,4,3,9,4,8,5,9,8,4,7,14,5,5,10,11,12,6,7,6,9,8,8,8,6,9,4,10,7,11,5,6
4066,66,2341,47,15,16,11,14,20,16,21,25,14,15,19,18,16,15,19,13,15,13,17,18,21,10,17,21,17,15,13,17,17,21,13,12,20,13,15,13,17,18,17,16,17,17,16,17,20,15,15,16,15,17,15,16,12,20,13,21,19,17,17,12,23,21,15,10,12,20,15,21,16,19,22,21,19,16,27,18,13,23,10,14,27,20,14,15,10,23,16,17,15,16,17,12,24,15,12,18,21,5,13,17,16
4066,74,3764,55,1,1,1,3,3,4,1,1,3,2,2,1,2,2,1,1,2,2,2,2,2,3,1,4,2,1,0,4,3,2,4,7,3,2,6,2,2,3,3,2,0,4,1,2,5,1,4,3,5,0,2,2,2,3,5,3,1,1,0,3,2,2,3,3,2,3,1,3,3,2,0,3,4,5,2,2,3,3,2,0,2,2,0,1,3,4,3,1,3,4,3,6,3,2,8,0,1,4,4,1,4
