Total SVs,SVPs,Axonal Transport SVs,Recycled SVs,PS Loc: 0,PS Loc: 3,PS Loc: 6,PS Loc: 9,PS Loc: 12,PS Loc: 15,PS Loc: 18,PS Loc: 21,PS Loc: 24,PS Loc: 27,PS Loc: 30,PS Loc: 33,PS Loc: 36,PS Loc: 39,PS Loc: 42,PS Loc: 45,PS Loc: 48,PS Loc: 51,PS Loc: 54,PS Loc: 57,PS Loc: 60,PS Loc: 63,PS Loc: 66,PS Loc: 69,PS Loc: 72,PS Loc: 75,PS Loc: 78,PS Loc: 81,PS Loc: 84,PS Loc: 87,PS Loc: 90,PS Loc: 93,PS Loc: 96,PS Loc: 99,PS Loc: 102,PS Loc: 105,PS Loc: 108,PS Loc: 111,PS Loc: 114,PS Loc: 117,PS Loc: 120,PS Loc: 123,PS Loc: 126,PS Loc: 129,PS Loc: 132,PS Loc: 135,PS Loc: 138,PS Loc: 141,PS Loc: 144,PS Loc: 147,PS Loc: 150,PS Loc: 153,PS Loc: 156,PS Loc: 159,PS Loc: 162,PS Loc: 165,PS Loc: 168,PS Loc: 171,PS Loc: 174,PS Loc: 177,PS Loc: 180,PS Loc: 183,PS Loc: 186,PS Loc: 189,PS Loc: 192,PS Loc: 195,PS Loc: 198,PS Loc: 201,PS Loc: 204,PS Loc: 207,PS Loc: 210,PS Loc: 213,PS Loc: 216,PS Loc: 219,PS Loc: 222,PS Loc: 225,PS Loc: 228,PS Loc: 231,PS Loc: 234,PS Loc: 237,PS Loc: 240,PS Loc: 243,PS Loc: 246,PS Loc: 249,PS Loc: 252,PS Loc: 255,PS Loc: 258,PS Loc: 261,PS Loc: 264,PS Loc: 267,PS Loc: 270,PS Loc: 273,PS Loc: 276,PS Loc: 279,PS Loc: 282,PS Loc: 285,PS Loc: 288,PS Loc: 291,PS Loc: 294,PS Loc: 297,PS Loc: 300
4067,81,3277,67,2,7,5,9,5,12,12,5,6,6,8,8,10,3,6,10,8,8,3,10,10,8,11,7,10,7,7,3,7,5,12,6,4,7,3,7,11,6,5,3,7,5,7,7,7,8,5,3,7,14,9,5,8,9,6,4,7,8,5,8,7,8,3,6,7,9,7,8,6,8,5,5,8,8,6,5,12,8,8,3,9,9,10,7,3,10,12,10,6,4,7,4,10,8,8,7,11,8,9,3,10
4068,88,3003,73,7,6,5,6,9,13,9,10,6,5,13,6,15,12,5,13,18,8,15,10,7,12,8,13,8,7,11,8,5,16,10,14,9,7,16,13,12,7,9,9,8,12,11,11,12,8,14,8,3,10,11,10,9,7,15,9,9,12,8,11,14,8,6,13,13,6,16,11,10,9,7,13,11,6,7,10,9,6,10,9,9,11,10,10,9,10,13,10,8,4,13,18,8,9,5,11,13,12,9,11,5
4068,96,2803,79,4,6,7,14,11,15,18,9,15,13,15,11,6,12,12,12,12,9,9,12,11,15,8,11,12,15,13,11,17,14,11,11,15,8,13,10,9,12,9,14,8,10,12,17,12,10,12,13,11,10,15,12,16,13,11,10,8,13,10,13,13,12,13,9,14,10,14,7,13,14,15,17,14,15,9,17,17,8,12,10,12,18,15,9,9,9,12,15,16,13,10,16,7,10,11,5,7,14,11,8,9
4069,103,3555,86,2,5,4,5,6,2,2,3,6,4,4,4,2,3,6,1,1,7,5,4,2,8,7,5,3,1,6,2,4,7,4,6,6,4,5,4,4,5,2,1,6,3,4,6,3,2,4,5,8,6,2,3,3,7,6,9,2,5,8,5,4,2,4,5,5,5,3,3,7,0,8,2,3,1,4,3,7,8,6,2,3,4,5,6,2,5,3,6,4,2,5,5,4,4,4,10,1,1,7,3,3
4070,110,3154,88,4,2,5,7,12,5,13,10,12,5,4,10,10,13,7,4,9,5,9,15,7,9,5,11,8,12,10,6,9,11,7,8,7,7,9,7,4,10,7,5,6,9,9,7,9,4,7,9,8,7,12,13,8,7,9,8,9,11,9,10,13,5,11,3,5,10,11,5,6,8,12,12,12,8,4,8,7,11,10,6,6,4,7,6,6,5,10,10,4,10,6,10,6,4,16,13,7,11,8,11,10
4072,116,2995,90,0,6,4,11,9,13,10,8,6,12,8,14,8,7,12,9,14,15,8,10,8,11,18,12,10,8,8,5,12,5,14,12,12,10,13,12,13,11,8,12,11,8,11,13,9,5,10,13,9,6,8,12,12,12,7,13,13,7,9,11,9,9,8,6,7,11,7,17,11,8,10,9,12,4,8,14,10,10,10,12,16,9,11,9,14,8,3,10,6,16,6,12,11,8,8,7,9,13,9,6,7
4073,123,3058,96,4,7,8,8,7,18,7,9,6,14,7,6,10,10,7,13,10,7,14,5,10,2,17,14,7,5,11,4,12,13,8,11,13,11,7,9,9,8,13,3,7,10,16,8,10,9,6,4,11,9,6,12,12,11,4,7,12,8,13,12,12,16,11,13,6,12,7,9,5,10,11,16,15,8,10,8,4,10,10,12,7,10,8,12,3,6,7,14,10,13,5,4,11,10,2,10,7,2,10,8,4
4073,131,3365,101,1,2,5,6,3,7,7,4,10,3,8,10,4,3,6,6,4,8,6,6,9,5,9,6,4,6,5,5,6,9,5,8,10,7,7,8,6,4,3,6,5,7,2,4,6,7,10,9,6,4,5,5,6,3,6,6,2,10,8,5,4,8,5,3,7,7,9,5,6,5,3,8,2,1,4,8,7,7,7,12,3,4,6,11,8,3,8,6,3,6,6,13,6,6,6,3,14,9,7,3,5
4076,136,3054,105,5,6,2,8,10,14,10,10,9,11,16,7,7,10,10,8,11,9,7,5,12,7,6,4,13,4,8,15,3,11,12,16,3,9,9,10,14,5,6,11,10,9,3,10,6,9,7,12,7,7,13,14,11,9,10,8,7,13,5,13,10,17,12,7,9,9,11,9,7,6,11,14,13,12,11,5,6,4,10,6,5,10,4,11,6,5,10,6,11,12,13,7,9,17,13,9,10,7,9,14,4
4077,143,3012,108,1,3,7,5,11,12,9,8,9,6,14,8,7,3,13,12,6,8,13,8,11,11,14,14,17,12,9,8,7,8,11,14,6,10,11,13,9,9,11,11,7,13,14,6,10,9,12,10,14,14,10,11,6,12,13,11,9,6,3,8,15,6,8,8,11,8,8,6,17,18,7,8,5,14,12,12,14,9,11,9,5,10,9,9,10,12,8,5,17,8,9,10,10,4,7,10,9,2,8,8,4
4080,148,3172,113,2,6,6,11,5,9,14,6,8,9,8,5,6,8,8,11,7,11,10,10,1,11,9,9,12,5,2,9,7,12,10,6,12,11,10,8,7,8,4,9,5,12,4,10,5,6,7,6,4,6,8,6,8,11,14,7,6,10,7,11,13,6,11,10,10,4,7,6,12,6,7,5,8,11,8,10,9,4,12,9,12,6,10,5,8,3,7,9,9,4,7,7,9,6,10,7,9,7,5,5,7
4083,153,3256,115,2,5,2,5,8,6,7,4,5,6,9,11,11,8,5,10,8,5,6,11,6,8,4,6,2,8,7,5,12,6,7,11,6,5,13,8,7,6,4,6,10,4,5,3,4,8,9,7,6,10,6,5,7,9,9,7,7,5,4,9,6,8,6,4,10,9,8,5,6,11,10,2,11,5,9,8,2,10,9,4,9,10,8,6,9,7,6,5,9,8,6,13,5,8,6,16,5,7,6,7,8
4084,160,3047,118,3,3,10,3,14,11,11,12,13,10,14,12,10,9,12,9,9,7,8,8,8,11,9,10,7,8,9,6,16,13,15,7,13,10,5,9,7,7,10,6,8,9,13,7,5,9,10,8,9,5,9,11,12,16,10,11,8,6,13,9,13,10,6,8,9,8,11,11,5,11,8,6,8,12,12,3,5,13,7,8,9,10,11,4,8,8,7,11,12,9,4,13,10,10,9,15,7,6,8,6,6
4084,168,3064,120,3,6,8,3,5,3,11,12,4,9,8,15,7,15,5,6,11,9,13,9,10,14,9,14,13,8,8,7,7,10,13,8,13,11,5,8,10,12,6,7,14,12,5,10,6,12,5,12,8,11,12,7,10,7,8,8,10,8,14,7,7,7,8,4,5,11,9,14,10,9,10,11,8,8,7,9,11,8,8,10,11,7,14,5,14,13,8,11,6,13,7,8,10,7,8,7,9,6,5,9,7
4084,176,3173,124,5,7,6,7,5,9,9,10,9,9,7,5,6,4,11,10,8,5,10,4,8,3,14,11,5,9,9,9,10,5,9,10,3,8,9,4,8,9,6,5,12,5,10,7,6,8,6,7,9,8,7,8,5,7,7,8,10,6,11,13,9,14,9,10,6,10,7,8,8,5,4,8,3,5,12,9,9,17,11,11,6,14,4,6,4,4,5,6,6,14,6,5,6,13,8,8,7,7,7,10,6
4088,180,3186,130,1,2,4,6,7,9,4,8,11,8,11,9,10,11,13,6,9,6,7,7,11,5,9,5,6,10,8,5,10,12,8,10,5,9,5,12,7,3,7,13,9,9,6,8,9,6,6,9,9,6,6,3,8,11,4,4,8,10,4,6,12,9,4,12,11,5,10,9,14,4,7,7,6,9,7,7,9,7,2,10,7,13,9,5,3,9,4,8,8,10,9,9,9,5,11,5,6,5,11,11,4
4088,188,3092,134,1,4,6,9,5,13,16,6,8,12,10,8,13,14,7,9,10,8,10,5,9,9,9,6,7,5,7,11,5,12,8,11,16,6,7,7,5,7,7,12,7,10,7,10,5,5,6,11,7,9,5,8,16,7,12,7,12,8,9,14,8,8,12,9,10,9,18,8,11,7,7,7,8,5,6,9,10,4,12,7,6,12,11,8,6,8,6,5,10,5,10,8,13,9,9,8,10,7,6,9,6
4090,194,3098,137,5,4,2,6,7,5,8,7,11,6,11,10,18,7,10,13,9,7,5,11,12,8,10,12,11,10,11,7,10,7,13,11,5,9,13,9,9,8,5,8,11,8,9,6,10,5,9,6,13,13,11,3,5,7,7,10,5,11,9,10,6,7,2,9,11,7,9,13,10,9,12,9,8,10,7,8,9,10,8,11,9,8,8,12,5,12,9,4,12,5,9,7,8,8,14,6,4,7,8,2,5
4093,199,3160,139,2,4,6,2,9,7,7,9,8,8,5,9,8,8,4,8,6,12,6,6,4,12,6,13,7,5,7,7,11,14,8,5,12,7,7,9,9,7,7,7,4,13,7,8,10,4,3,9,11,10,11,6,6,7,12,9,7,11,11,12,12,8,11,10,11,8,5,4,8,7,9,2,5,13,9,8,8,9,14,7,11,8,7,7,4,6,2,6,9,8,6,8,8,11,10,6,9,9,12,1,9
4093,207,3112,144,2,4,4,6,8,9,9,12,12,14,10,9,7,7,11,10,9,9,7,7,8,13,7,13,13,7,9,12,10,10,6,13,12,7,7,4,5,7,13,6,10,6,8,8,7,9,5,13,6,4,6,10,6,6,8,6,7,8,9,9,8,7,7,5,8,12,6,17,5,6,10,9,14,7,6,5,9,8,8,10,11,9,15,4,8,7,12,6,6,7,11,10,5,12,6,8,6,10,9,4,5
4096,212,3062,146,4,2,5,7,9,11,13,12,7,11,10,19,8,5,12,10,6,7,9,8,5,7,5,8,8,3,5,4,10,10,13,8,9,14,7,8,6,4,9,11,9,3,12,5,7,11,5,10,10,13,11,9,7,16,9,13,8,11,8,15,13,14,5,10,8,15,9,17,4,7,5,4,8,12,10,5,5,9,10,13,12,13,15,9,8,8,10,8,6,6,7,10,10,10,3,8,8,12,7,7,7
4100,216,3149,151,6,4,6,2,3,11,4,8,9,6,6,9,11,13,6,8,12,7,6,12,10,9,6,11,17,16,5,6,10,12,7,10,15,7,8,12,3,6,12,7,6,5,8,7,9,9,8,13,7,11,6,9,8,2,10,9,6,4,6,10,6,11,4,6,8,9,10,8,9,6,6,9,7,11,13,4,6,5,3,13,8,11,9,11,6,8,6,13,7,10,6,8,4,8,8,8,8,3,9,3,1
4101,223,3110,157,4,4,5,9,4,7,8,10,12,7,9,5,10,11,11,9,12,8,11,4,5,5,9,10,10,8,7,7,9,9,8,13,4,13,8,10,7,10,7,11,8,6,8,8,5,9,7,4,10,8,7,4,9,8,12,8,8,6,13,15,9,12,9,12,6,7,16,10,9,10,8,5,5,7,12,6,11,11,4,14,6,10,9,5,10,6,7,4,7,10,8,5,12,8,8,4,7,11,6,12,3
4105,227,3095,159,1,4,6,7,8,8,9,7,9,6,17,8,10,8,8,4,8,9,9,7,7,10,10,4,21,10,9,10,11,13,11,12,10,12,6,12,7,7,6,12,7,9,9,9,7,9,5,4,14,7,9,5,8,4,8,9,7,6,8,7,6,12,5,7,11,6,13,4,11,6,12,11,12,11,6,9,4,7,13,6,16,13,8,9,5,6,9,10,9,7,12,9,13,4,8,8,6,9,4,8,2
4108,232,3055,161,1,8,5,6,4,11,5,5,12,9,12,10,14,13,7,9,6,10,8,5,11,4,7,10,6,6,12,6,7,8,9,10,8,13,6,9,12,10,8,9,6,8,9,6,12,4,11,11,4,8,7,6,16,10,15,13,14,12,10,9,11,7,11,6,11,10,25,2,6,8,5,9,8,11,6,3,13,12,11,9,8,17,12,14,11,15,5,6,6,8,8,8,8,5,7,5,11,4,12,7,9
4112,236,3185,163,4,6,1,9,5,5,17,12,8,7,7,6,9,7,7,14,4,6,9,8,6,7,8,9,12,7,12,5,8,8,7,11,13,9,8,9,8,7,7,10,1,7,7,10,9,8,7,7,10,10,12,4,7,9,8,5,10,5,6,9,12,5,6,7,9,10,9,5,5,7,12,6,13,7,5,10,7,1,7,5,5,5,7,8,7,5,9,5,11,7,8,10,8,6,7,7,10,10,5,2,1
4114,242,3130,165,2,4,2,4,11,5,7,10,7,7,11,10,8,4,5,13,9,13,10,5,11,8,7,8,12,10,4,8,11,10,12,8,9,7,15,6,12,9,8,5,7,6,5,7,4,6,7,8,6,12,4,4,7,5,12,10,11,12,12,12,8,9,17,11,8,9,6,7,8,12,12,4,4,7,9,11,9,6,13,9,12,9,9,8,6,7,5,9,10,4,9,7,5,13,5,9,4,6,7,2,10
4116,248,3103,170,6,4,7,4,6,11,6,11,8,16,9,11,7,12,8,5,10,9,6,4,7,7,6,13,10,12,13,9,7,14,14,9,8,7,10,8,6,8,5,3,14,11,8,8,9,7,7,9,5,11,11,5,6,5,8,9,6,10,6,7,4,8,9,11,7,13,9,14,7,14,6,5,13,14,7,12,7,11,6,15,12,6,4,8,11,7,7,12,5,10,11,9,1,8,8,8,7,7,8,2,2
4118,254,3096,174,4,2,5,8,8,4,4,6,10,13,6,9,12,9,12,9,7,7,13,11,5,13,4,4,11,9,15,10,7,7,9,5,11,9,12,9,7,8,9,12,10,6,5,9,8,10,5,4,11,6,5,10,6,7,16,12,8,15,12,8,4,11,3,9,10,19,7,6,7,8,10,4,4,9,11,7,8,12,9,11,13,7,19,9,14,6,3,3,5,10,9,8,12,7,7,7,7,12,3,6,4
4118,262,3150,177,2,3,9,4,4,9,15,8,10,8,4,4,9,12,11,4,12,3,4,8,7,6,8,7,4,10,8,8,7,11,14,9,10,10,9,10,7,4,7,9,11,10,13,3,5,8,9,11,8,13,7,15,10,4,6,7,8,10,6,8,9,11,8,7,6,7,14,6,6,5,4,10,10,10,12,5,2,8,3,7,10,9,6,7,8,6,9,9,9,6,12,11,7,4,9,10,10,6,5,6,2
4121,267,3089,179,4,3,4,6,8,5,6,9,11,10,13,9,7,9,11,9,10,12,12,7,7,10,5,13,7,3,14,5,11,13,11,12,8,12,7,12,9,11,7,4,7,11,3,4,6,8,9,9,8,7,4,9,8,10,10,8,13,11,13,11,14,10,3,10,12,9,8,7,8,5,13,7,5,6,6,8,8,12,9,9,16,14,6,14,11,10,7,9,6,10,5,6,7,7,7,2,9,10,4,5,4
4123,273,3071,182,4,7,6,5,6,7,12,5,11,14,12,8,8,9,8,10,10,7,6,6,7,4,6,9,16,12,8,6,11,14,12,8,8,4,8,11,9,8,8,6,4,6,12,9,9,12,10,5,8,10,7,7,14,10,4,4,9,6,10,5,11,4,14,14,12,8,10,9,5,10,12,9,8,6,15,11,12,7,12,11,11,11,10,11,11,5,6,13,7,12,4,5,8,8,14,6,7,11,7,5,1
4127,277,3105,185,4,6,5,9,15,5,9,7,9,9,8,12,4,10,7,9,8,14,9,8,10,10,7,6,11,10,6,11,11,9,9,13,9,12,8,6,7,7,4,9,11,9,8,12,5,3,5,9,4,8,7,6,7,11,7,9,13,14,11,9,5,6,11,7,14,5,12,7,7,5,9,13,9,6,7,5,4,7,11,14,8,12,11,10,9,8,8,3,10,12,8,8,6,7,6,8,10,3,8,6,2
4131,281,3116,189,4,2,5,5,6,7,5,12,6,12,10,11,10,10,9,17,2,7,12,10,6,9,7,7,7,4,10,8,7,10,12,10,10,14,10,6,10,8,4,8,5,8,12,6,10,8,9,7,13,7,13,10,9,9,6,7,10,7,6,13,6,8,6,3,9,8,8,11,10,3,8,7,11,13,3,9,9,2,10,6,12,9,8,7,7,9,5,13,6,9,8,10,10,4,7,14,8,6,9,6,5
4136,284,3113,192,3,5,3,5,8,5,9,8,10,14,8,6,9,5,6,12,11,3,8,9,10,11,7,8,8,11,5,13,12,8,11,9,14,6,15,10,10,4,4,5,9,4,7,10,6,4,7,9,11,4,5,7,13,8,9,11,9,11,11,13,10,7,4,12,12,14,7,6,7,13,6,8,10,8,9,7,12,4,11,4,12,11,10,11,11,10,3,6,10,6,7,6,9,6,5,9,3,9,8,6,6
4138,290,3063,197,3,6,2,6,5,10,7,10,11,13,14,16,8,9,10,12,7,12,7,6,6,7,8,9,5,16,18,8,7,14,4,10,2,9,7,13,10,15,6,8,10,10,5,7,13,6,8,12,5,10,13,10,7,10,7,10,8,10,6,12,5,10,12,13,9,8,8,9,9,9,7,7,4,14,9,11,11,8,7,9,13,10,9,9,8,5,12,4,11,4,5,7,6,7,8,11,6,7,10,7,5
4143,293,3085,203,5,4,5,12,5,5,6,19,6,9,7,12,11,3,9,7,9,13,8,11,15,3,3,6,6,9,10,10,13,11,8,11,11,12,9,5,4,7,11,8,2,9,12,7,11,6,4,8,12,7,4,8,8,8,11,8,11,9,10,15,9,9,5,8,4,10,4,7,9,11,9,12,9,8,3,9,9,11,13,10,9,5,8,13,13,7,6,11,9,17,12,4,8,5,8,5,4,13,6,8,7
4146,298,3128,206,1,1,5,1,6,3,7,8,9,8,12,13,14,5,10,8,16,8,10,7,12,6,8,5,3,9,8,12,6,5,13,18,9,4,11,5,7,8,6,6,9,3,5,13,6,9,8,9,8,17,6,9,8,7,8,9,9,5,11,11,10,9,9,8,8,7,11,9,4,9,7,8,11,12,12,5,8,9,6,8,5,14,14,9,7,7,12,8,7,6,5,8,5,8,4,7,11,5,7,7,3
4147,305,3127,210,2,2,8,7,4,6,7,8,16,6,7,9,4,9,11,7,7,15,5,7,10,7,9,7,5,12,14,10,8,8,7,13,9,10,4,14,7,10,5,6,6,5,9,9,5,10,13,7,4,7,2,10,6,8,14,6,11,7,10,12,12,13,6,6,17,7,6,10,5,5,10,6,3,12,8,9,5,16,5,5,8,11,8,9,9,7,10,9,7,9,8,13,5,6,7,1,11,6,8,2,7
4151,309,3098,214,3,1,3,3,12,10,9,6,7,16,10,10,13,9,8,11,11,3,5,6,6,11,4,9,15,12,9,9,8,6,10,5,9,13,10,7,11,6,10,11,9,10,14,9,3,12,14,7,9,13,10,7,17,7,7,11,9,6,10,7,14,5,15,12,7,9,10,7,8,5,10,5,6,7,7,11,7,7,7,12,10,12,10,5,8,11,3,8,3,9,7,6,6,6,7,9,5,4,4,5,2
4155,313,3066,218,5,8,7,3,7,12,14,6,16,6,12,11,10,11,4,11,9,6,14,10,4,11,3,4,6,10,12,7,8,10,9,10,6,11,12,9,6,16,9,6,8,6,11,10,5,7,10,10,11,7,9,5,7,10,9,10,11,5,12,9,13,10,14,1,5,5,7,4,13,7,8,11,11,10,14,13,7,9,11,8,9,7,9,9,12,12,10,8,10,12,8,8,5,9,4,7,9,4,6,3,6
4159,317,3142,220,0,2,4,9,4,8,7,10,9,7,11,10,7,7,8,13,10,13,12,9,8,5,8,5,7,5,8,5,9,11,9,10,8,9,7,10,11,11,9,6,1,6,11,5,7,6,7,17,7,8,16,7,9,13,7,7,6,12,5,6,8,9,6,11,9,9,7,8,6,8,11,7,7,12,6,11,6,8,7,4,8,5,9,13,7,9,11,5,8,9,8,6,7,5,9,3,6,7,7,6,5
4162,322,3118,223,2,6,6,5,7,9,8,13,7,12,7,5,13,7,5,8,8,3,14,8,9,5,10,11,12,10,11,12,11,13,15,7,7,10,12,3,9,5,12,10,8,12,7,7,8,8,10,5,7,4,8,7,6,11,5,12,3,10,6,13,10,8,9,13,6,12,5,4,6,8,9,6,8,4,12,4,14,7,7,8,9,4,6,6,8,8,8,11,13,9,5,7,11,7,4,8,8,9,0,9,7
4165,327,3101,227,2,1,3,10,10,8,4,6,13,7,11,11,10,13,8,10,7,8,7,12,13,5,2,10,10,16,8,2,5,10,12,8,8,15,7,11,5,8,11,12,14,9,5,7,6,3,9,9,7,11,7,11,14,14,11,6,8,15,10,10,8,9,12,8,8,8,12,10,3,7,9,11,7,2,14,5,7,7,10,14,10,9,9,4,6,7,7,7,13,3,4,11,6,2,8,9,6,5,5,4,6
4167,333,3071,231,4,4,5,5,9,12,9,11,10,11,6,11,16,8,9,10,9,11,6,11,12,1,7,9,7,7,12,9,14,10,7,14,12,9,12,7,13,6,7,10,5,9,10,8,10,13,9,12,7,14,4,7,10,7,6,8,7,10,9,14,9,10,7,7,8,7,4,6,5,13,12,10,7,10,11,5,10,6,7,8,13,15,6,10,11,12,6,10,12,10,5,8,10,3,7,6,2,4,5,0,7
4171,337,3092,234,1,1,4,5,8,9,11,11,6,7,7,12,11,10,9,11,13,10,13,5,9,8,6,6,3,10,7,9,7,10,14,11,11,10,11,15,6,7,8,7,5,7,5,8,4,9,11,7,8,10,8,14,10,9,15,7,11,12,11,8,9,6,10,13,8,12,11,5,9,11,7,10,8,6,16,5,10,5,5,8,11,9,11,6,7,12,11,10,5,7,9,7,6,6,4,5,3,6,5,7,6
4173,343,3116,236,1,4,9,13,6,5,9,3,4,10,10,8,8,8,5,7,12,7,6,13,7,9,13,8,6,11,12,9,12,9,7,13,10,10,7,18,5,12,10,12,18,5,5,5,7,9,5,11,9,5,9,11,6,4,13,2,12,2,9,9,12,10,11,2,18,10,2,7,10,6,9,8,6,7,6,12,6,8,6,9,4,10,10,6,10,7,13,14,4,6,7,6,9,7,3,4,9,4,8,4,7
