Total SVs,SVPs,Axonal Transport SVs,Recycled SVs,PS Loc: 0,PS Loc: 3,PS Loc: 6,PS Loc: 9,PS Loc: 12,PS Loc: 15,PS Loc: 18,PS Loc: 21,PS Loc: 24,PS Loc: 27,PS Loc: 30,PS Loc: 33,PS Loc: 36,PS Loc: 39,PS Loc: 42,PS Loc: 45,PS Loc: 48,PS Loc: 51,PS Loc: 54,PS Loc: 57,PS Loc: 60,PS Loc: 63,PS Loc: 66,PS Loc: 69,PS Loc: 72,PS Loc: 75,PS Loc: 78,PS Loc: 81,PS Loc: 84,PS Loc: 87,PS Loc: 90,PS Loc: 93,PS Loc: 96,PS Loc: 99,PS Loc: 102,PS Loc: 105,PS Loc: 108,PS Loc: 111,PS Loc: 114,PS Loc: 117,PS Loc: 120,PS Loc: 123,PS Loc: 126,PS Loc: 129,PS Loc: 132,PS Loc: 135,PS Loc: 138,PS Loc: 141,PS Loc: 144,PS Loc: 147,PS Loc: 150,PS Loc: 153,PS Loc: 156,PS Loc: 159,PS Loc: 162,PS Loc: 165,PS Loc: 168,PS Loc: 171,PS Loc: 174,PS Loc: 177,PS Loc: 180,PS Loc: 183,PS Loc: 186,PS Loc: 189,PS Loc: 192,PS Loc: 195,PS Loc: 198,PS Loc: 201,PS Loc: 204,PS Loc: 207,PS Loc: 210,PS Loc: 213,PS Loc: 216,PS Loc: 219,PS Loc: 222,PS Loc: 225,PS Loc: 228,PS Loc: 231,PS Loc: 234,PS Loc: 237,PS Loc: 240,PS Loc: 243,PS Loc: 246,PS Loc: 249,PS Loc: 252,PS Loc: 255,PS Loc: 258,PS Loc: 261,PS Loc: 264,PS Loc: 267,PS Loc: 270,PS Loc: 273,PS Loc: 276,PS Loc: 279,PS Loc: 282,PS Loc: 285,PS Loc: 288,PS Loc: 291,PS Loc: 294,PS Loc: 297,PS Loc: 300
4060,8,20,0,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
4060,16,1618,0,28,22,26,24,23,27,26,23,26,23,25,23,22,24,23,26,25,24,21,23,25,26,25,24,24,28,24,24,26,22,31,23,29,26,19,25,28,25,27,31,24,21,28,20,21,19,24,25,29,26,21,26,21,18,21,28,21,24,21,27,25,29,27,24,23,23,29,23,24,22,23,30,18,24,26,29,22,26,23,20,23,21,27,23,27,24,23,22,28,25,20,25,20,22,20,22,24,20,23,27,25
4061,23,2485,6,21,9,17,13,13,22,15,14,23,17,17,15,21,16,19,15,13,21,15,13,16,16,15,12,11,13,14,15,12,18,27,12,23,17,12,16,16,13,19,20,21,14,20,16,11,12,19,15,16,14,16,12,17,10,7,19,16,22,12,15,14,23,12,10,14,15,16,15,18,12,17,18,14,15,16,18,17,21,16,13,17,12,17,12,16,17,19,12,23,15,9,12,8,10,13,14,16,13,15,16,20
4061,31,2986,14,12,8,15,12,10,11,9,10,13,11,15,8,13,11,9,9,10,13,11,12,12,10,8,11,8,8,12,12,4,13,23,8,13,13,9,12,10,8,13,12,13,7,13,13,8,9,13,12,13,12,14,11,15,2,8,18,7,14,10,9,13,12,10,7,10,10,6,14,13,7,9,12,10,12,14,13,9,9,9,12,11,7,8,7,13,10,11,4,11,11,5,10,8,5,8,6,13,8,10,9,13
4061,39,2335,20,12,13,19,15,15,19,17,18,16,11,16,20,16,18,15,11,18,24,22,18,13,15,11,17,12,26,15,17,12,16,22,9,22,17,15,18,14,16,17,18,15,11,18,14,18,19,18,17,22,16,16,15,16,15,15,27,13,15,16,22,18,17,17,9,19,20,13,15,14,20,17,20,12,26,19,25,17,16,20,14,21,17,13,14,19,18,20,10,11,16,17,26,18,16,18,18,20,11,21,18,23
4062,46,2233,24,12,14,18,16,20,19,21,14,13,13,20,17,24,19,17,15,18,23,18,13,15,18,13,17,12,25,19,25,10,19,16,11,26,18,16,21,20,12,21,20,13,6,20,17,17,21,25,17,22,15,18,18,18,10,15,20,14,15,18,16,19,21,13,20,25,17,17,16,17,23,21,17,14,18,22,24,15,14,19,13,21,20,15,20,19,22,21,10,17,22,23,29,18,20,20,16,17,16,20,16,25
4063,53,2430,28,5,12,14,17,17,14,22,16,11,12,15,13,25,18,16,17,18,16,15,13,14,21,12,17,13,15,15,21,10,19,13,12,15,18,15,14,15,10,22,26,11,9,20,17,9,15,18,14,20,21,14,17,15,9,13,14,13,13,18,18,17,13,16,18,15,20,13,12,15,25,15,17,12,15,19,19,14,11,10,17,14,16,18,19,19,20,17,13,17,21,22,22,17,17,21,15,16,16,14,15,22
4063,61,2462,35,3,15,17,19,16,10,21,15,10,14,11,17,24,19,8,15,17,14,16,16,11,27,13,9,11,17,16,13,13,15,12,14,19,19,12,14,12,9,19,30,11,14,14,17,9,16,17,13,22,22,14,16,17,10,14,19,19,10,16,21,12,15,17,15,16,18,11,15,14,22,15,22,8,16,11,20,12,15,7,20,15,16,17,19,17,8,13,15,18,22,25,20,11,14,16,21,15,11,22,15,22
4063,69,2471,37,4,17,21,17,20,15,21,13,15,9,14,11,21,17,8,18,15,19,18,12,15,21,20,10,21,20,16,7,12,21,14,21,15,13,11,17,15,14,19,19,13,22,16,16,10,13,17,13,18,23,10,19,18,7,16,13,18,6,19,16,12,16,14,15,13,12,17,12,18,23,12,20,9,22,12,23,12,9,9,23,11,19,13,15,16,9,20,11,19,19,15,15,10,14,16,24,14,20,15,13,15
4063,77,2413,40,6,19,21,14,18,15,18,12,15,13,13,16,23,14,11,20,16,21,17,15,17,16,17,14,24,23,11,8,15,16,18,16,18,18,14,16,19,17,14,17,17,14,12,17,17,21,12,21,17,19,13,15,14,13,13,18,18,10,18,18,15,15,20,10,13,16,21,11,18,16,12,19,13,23,11,22,14,13,12,23,20,17,13,14,15,12,17,13,19,19,12,19,13,13,16,20,14,16,15,17,17
